profile_id,executions_total,executions_fully_scored,coverage_rate,stability_mean,validity_signal_mean,factual_risk_mean,semantic_variation_rate,coherence_mean,flag_rate,error_rate,dominant_regime
PROFILE-161CC5,400,399,0.9975,0.91953,0.988471,0.011529,0.0,1.0,0.02,0.0,NORMAL_SIGNAL
PROFILE-212079,400,375,0.9375,0.916513,0.978667,0.021333,0.0,1.0,0.02,0.0625,NORMAL_SIGNAL
PROFILE-486F91,400,400,1.0,0.920923,0.993,0.007,0.0,1.0,0.0075,0.0,NORMAL_SIGNAL
PROFILE-48C581,400,400,1.0,0.917308,0.98125,0.01875,0.005,1.0,0.03,0.0,NORMAL_SIGNAL
PROFILE-59664C,400,400,1.0,0.923077,1.0,0.0,0.045,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5A5C60,400,400,1.0,0.922923,0.9995,0.0005,0.0225,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-5B3BB7,400,400,1.0,0.922615,0.9985,0.0015,0.0125,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-638E26,400,400,1.0,0.923077,1.0,0.0,0.115,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-739F7C,400,400,1.0,0.922615,0.9985,0.0015,0.0025,1.0,0.0025,0.0,NORMAL_SIGNAL
PROFILE-B912EA,400,399,0.9975,0.923077,1.0,0.0,0.010025,1.0,0.0,0.0,NORMAL_SIGNAL
PROFILE-DEA9C5,400,400,1.0,0.922,0.9965,0.0035,0.0275,1.0,0.005,0.0,NORMAL_SIGNAL
PROFILE-F5FF91,400,400,1.0,0.923077,1.0,0.0,0.0775,1.0,0.0,0.0,NORMAL_SIGNAL
